Actual,Greedy_Euclidean,A*_Euclidean,Greedy_Manhattan,A*_Manhattan
[423,688,685,690,685]
[0,17.37702703,46.35144758,7.997462273,9.626428842544556]
[422,691,687,694,687]
[0,17.6775279,52.51238108,7.797712326,10.353057384490967]
[418,667,667,667,667]
[0,27.08514857,58.54692674,8.944908142,11.131104946136475]
[426,703,701,707,701]
[0,24.06041384,61.28824568,9.192402124,11.11003565788269]
[423,671,663,675,663]
[0,20.7331779,42.1258533,8.354047775,13.44256067276001]
[422,631,636,636,636]
[0,19.67888045,53.38812566,7.816085815,9.864017248153687]
[422,699,697,701,697]
[0,22.38126349,72.48719859,8.461568832,11.459893703460693]
[418,656,652,660,654]
[0,22.22272158,47.62929559,8.187192202,9.910818576812744]
[421,659,659,659,659]
[0,25.17459345,66.17388988,8.838505507,11.24539065361023]
[427,672,672,672,672]
[0,29.94032001,75.07712936,9.444761276,12.387293100357056]
[417,656,656,658,656]
[0,21.81184411,57.46824479,8.356517315,10.302750825881958]
[414,643,643,636,643]
[0,22.44453001,54.28199172,8.040601015,10.207780361175537]
[412,676,670,676,670]
[0,27.50529051,55.94094563,8.694045782,10.76522946357727]
[420,679,673,673,673]
[0,20.48301053,48.24871469,8.228040934,9.641730308532715]
[423,700,700,700,700]
[0,17.54746199,42.41423798,7.812212467,9.278422594070435]
[409,667,665,667,665]
[0,18.62965226,50.21857929,7.598353863,9.658278703689575]
[423,673,669,673,669]
[0,19.60392809,57.14418316,8.341790676,10.248401403427124]
[416,631,631,631,631]
[0,19.46824622,48.87268925,7.786973238,9.477033615112305]
[423,677,677,677,677]
[0,19.54023409,51.15787506,7.902005434,10.042459964752197]
[430,664,664,668,664]
[0,19.47713614,56.40512133,7.888774872,10.425320148468018]
[417,618,618,618,618]
[0,19.47225785,45.63336802,7.309873104,8.963523387908936]
[419,665,665,671,665]
[0,20.93182325,47.13539052,8.274798155,9.766196250915527]
[417,677,675,677,675]
[0,18.97145438,48.33710265,8.357145071,10.84280276298523]
[424,701,701,705,701]
[0,23.90933824,60.35365462,8.587704182,11.136899709701538]
[416,636,634,636,634]
[0,16.24244952,43.72067022,7.101885796,8.947654962539673]
[415,736,732,740,732]
[0,21.31965327,51.42566276,8.270489693,10.313828706741333]
[419,662,668,656,668]
[0,21.24991703,55.91494989,8.250255585,10.26523208618164]
[420,617,617,621,617]
[0,21.67852616,57.70655584,7.747479916,10.143674850463867]
[419,607,626,626,626]
[0,24.13989329,59.20574856,8.504439116,10.165231227874756]
[417,662,662,662,662]
[0,17.40328431,47.33476782,7.814876795,9.317818880081177]
[420,654,650,656,650]
[0,23.46273255,50.34792805,8.371461153,9.963840007781982]
[419,697,697,697,697]
[0,19.0310657,47.08700943,7.980604172,10.075393199920654]
[423,670,670,670,670]
[0,19.76126981,55.67920899,8.025735617,10.24840760231018]
[418,668,668,668,668]
[0,28.19566417,55.83761072,8.948549271,10.891461849212646]
[421,678,668,666,668]
[0,25.32438493,54.47433019,8.686415672,10.747879266738892]
[417,669,663,669,663]
[0,18.63600993,52.47549963,7.895535946,9.877705574035645]
[418,640,640,640,640]
[0,25.2550869,71.15252376,8.299490213,10.978227376937866]
[420,704,698,698,698]
[0,23.95364928,55.5089829,8.425586462,10.48305630683899]
[424,715,711,713,711]
[0,18.74581504,59.1084249,7.836999893,10.053843975067139]
[420,662,649,662,649]
[0,17.20056748,54.13771176,7.154908895,9.598207473754883]
[416,651,657,651,657]
[0,18.73127747,50.31977987,7.526540756,9.549374103546143]
[423,705,703,705,703]
[0,19.45578599,51.03706598,7.862469912,10.079531908035278]
[424,666,664,650,664]
[0,19.77716589,58.41342092,7.514446259,10.48898720741272]
[418,656,656,656,656]
[0,21.25433373,55.26378274,7.746435404,9.697429656982422]
[418,682,678,686,678]
[0,18.36796856,54.344661,7.524620533,9.735982894897461]
[420,680,675,676,675]
[0,20.81408882,46.26451397,7.975910664,9.385377168655396]
[418,656,652,652,652]
[0,16.98720098,52.13010788,7.08763957,9.36483383178711]
[421,676,674,674,674]
[0,20.61959624,65.55802846,7.843800545,10.802013397216797]
[424,628,628,628,628]
[0,23.50901461,54.66536307,7.904616833,9.940144538879395]
[418,672,672,676,672]
[0,23.36884928,70.61251187,8.0841465,10.993748188018799]
[423,679,679,679,679]
[0,25.52921438,73.17777205,8.419113874,11.765806913375854]
[417,669,663,663,663]
[0,16.07949972,43.099792,7.132645369,8.67362928390503]
[410,679,675,681,675]
[0,14.85994983,41.72080517,6.993779898,8.613082647323608]
[422,648,648,627,648]
[0,20.52939892,50.31622839,7.278135777,9.320177793502808]
[418,724,716,718,716]
[0,17.04589677,45.63911724,7.407469273,9.202356338500977]
[420,674,670,674,670]
[0,20.29951239,58.73879695,7.624222517,10.321385383605957]
[417,692,680,682,680]
[0,21.63072324,43.731493,8.018776655,9.237703800201416]
