Actual,Greedy_Euclidean,A*_Euclidean,Greedy_Manhattan,A*_Manhattan
[187,267,267,267,267]
[0,1.957839727,4.085868359,1.059282541,1.1951980590820312]
[187,280,280,280,280]
[0,1.777082205,3.615961552,1.080934525,1.301734209060669]
[184,278,278,278,278]
[0,1.959709406,4.244844913,1.097887754,1.2400774955749512]
[185,290,286,290,286]
[0,1.860244751,3.851567507,1.153685331,1.2516226768493652]
[193,302,302,302,302]
[0,2.768795013,6.172055006,1.283235073,1.5790398120880127]
[187,249,249,249,249]
[0,2.161533833,3.819307566,1.046765327,1.146848440170288]
[186,260,254,254,254]
[0,1.413339376,2.438088417,0.9491503239,1.0247015953063965]
[190,283,283,283,283]
[0,2.407969713,5.560926437,1.181933165,1.3951635360717773]
[185,260,260,260,260]
[0,2.010545731,3.689955473,1.053208113,1.1816349029541016]
[188,265,265,267,265]
[0,1.834213495,3.848625898,1.05274272,1.1959140300750732]
[176,264,264,264,264]
[0,2.000849485,3.787894249,1.053503275,1.1749732494354248]
[189,236,236,236,236]
[0,1.563674927,3.026241302,0.9112913609,1.0104708671569824]
[190,300,300,300,300]
[0,2.190496922,3.652101994,1.225089073,1.3131723403930664]
[188,285,283,285,285]
[0,2.142350435,4.118094683,1.19004178,1.2987992763519287]
[182,285,285,285,285]
[0,2.060523033,3.798537493,1.18421483,1.283926010131836]
[188,276,276,276,276]
[0,1.826140165,3.673650742,1.087915421,1.1763877868652344]
[189,262,262,262,262]
[0,1.958715916,4.146450043,1.104884386,1.2189013957977295]
[178,277,277,277,277]
[0,1.987391233,3.50280571,1.112805605,1.209575891494751]
[188,290,290,302,290]
[0,1.815461874,3.409897089,1.169553041,1.2296247482299805]
[191,265,265,267,265]
[0,1.682778597,3.485840797,1.034574509,1.1400089263916016]
[190,280,280,280,280]
[0,2.404915333,4.948265314,1.187184334,1.378342628479004]
[186,267,267,267,267]
[0,2.568431139,5.361416101,1.167215347,1.3562037944793701]
[184,264,264,264,264]
[0,2.385168076,4.453154564,1.09098053,1.2419652938842773]
[187,257,257,259,257]
[0,1.458316088,2.532916307,0.9716160297,1.0515310764312744]
[184,273,271,273,271]
[0,1.77740097,3.460270405,1.075553417,1.1604297161102295]
[190,261,261,261,261]
[0,2.248277187,4.209383249,1.114439249,1.2353696823120117]
[182,264,264,264,264]
[0,2.026378632,3.9855721,1.077052593,1.217759609222412]
[191,265,265,265,265]
[0,2.12645936,5.199212313,1.09866333,1.3223717212677002]
[185,259,259,259,259]
