Actual,Greedy_Euclidean,A*_Euclidean,Greedy_Manhattan,A*_Manhattan
[67,86,86,86,86]
[0,0.1533863544,0.1987211704,0.1110398769,0.11515092849731445]
[65,87,87,87,87]
[0,0.1547160149,0.1829280853,0.1137087345,0.11637496948242188]
[62,88,88,88,88]
[0,0.1465148926,0.1814534664,0.1129333973,0.11548304557800293]
[69,92,92,92,92]
[0,0.1496517658,0.2118833065,0.1177473068,0.12256550788879395]
[64,85,85,85,85]
[0,0.153563261,0.2106430531,0.1115498543,0.11606192588806152]
[65,88,88,88,88]
[0,0.1574709415,0.2221586704,0.115426302,0.12067484855651855]
[60,88,88,88,88]
[0,0.1310517788,0.1527588367,0.1100811958,0.11162209510803223]
[64,92,92,92,92]
[0,0.1385421753,0.1709775925,0.1156833172,0.11852788925170898]
[63,88,89,94,89]
[0,0.1245801449,0.1474423409,0.115377903,0.1114034652709961]
[59,68,68,68,68]
[0,0.1011126041,0.1133537292,0.08514332771,0.08639883995056152]
[61,82,82,82,82]
[0,0.150616169,0.2117245197,0.1075241566,0.1134481430053711]
[60,79,79,79,79]
[0,0.1253063679,0.1414003372,0.1002357006,0.10233640670776367]
[64,95,95,95,95]
[0,0.1569852829,0.2053599358,0.1220817566,0.12532663345336914]
[68,88,88,88,88]
[0,0.1805477142,0.2742836475,0.1178338528,0.12614893913269043]
[65,92,92,92,92]
[0,0.1457667351,0.1945061684,0.1163024902,0.12080883979797363]
[65,87,85,87,85]
[0,0.1308968067,0.1588542461,0.1077334881,0.10809183120727539]
[69,92,92,94,92]
[0,0.1551852226,0.2162661552,0.1203055382,0.12337112426757812]
[70,83,83,83,83]
[0,0.1351296902,0.1861290932,0.1071751118,0.10940670967102051]
[66,77,77,77,77]
[0,0.1146664619,0.130317688,0.09656333923,0.09800076484680176]
[64,88,88,92,88]
[0,0.1607275009,0.2027373314,0.1205811501,0.11944246292114258]
[59,90,90,90,90]
[0,0.159532547,0.1860501766,0.1177587509,0.1200106143951416]
[63,78,78,78,78]
[0,0.1184749603,0.145865202,0.09727096558,0.09980463981628418]
[65,75,75,75,75]
[0,0.1310377121,0.1545381546,0.09552025795,0.09826135635375977]
[64,76,76,76,76]
[0,0.1134884357,0.1331744194,0.09418106079,0.09531807899475098]
[66,84,84,84,84]
[0,0.1354839802,0.1782238483,0.1092877388,0.11006593704223633]
[61,82,82,82,82]
[0,0.1554367542,0.2185826302,0.1075935364,0.11524772644042969]
[60,80,80,80,80]
[0,0.1128573418,0.1170012951,0.0983569622,0.09771585464477539]
[62,87,87,87,87]
[0,0.1394293308,0.1792106628,0.1100645065,0.11293458938598633]
[65,87,87,87,87]
[0,0.1512691975,0.2214581966,0.1120326519,0.1180577278137207]
[58,89,89,91,89]
[0,0.1379270554,0.1615219116,0.1143612862,0.11435699462890625]
[71,101,101,101,101]
[0,0.1656098366,0.2254526615,0.1283173561,0.13385486602783203]
[67,96,96,96,96]
[0,0.1940541267,0.2801961899,0.1270854473,0.13337063789367676]
[66,82,82,82,82]
[0,0.1421194077,0.1855013371,0.1062178612,0.11043405532836914]
[65,80,80,80,80]
[0,0.1355471611,0.18390131,0.1024026871,0.1065516471862793]
[63,98,98,98,98]
[0,0.175978899,0.256216526,0.1263775826,0.1331779956817627]
[57,82,82,82,82]
[0,0.1215326786,0.1240670681,0.1007101536,0.10467147827148438]
[62,88,88,88,88]
[0,0.1330924034,0.1587712765,0.1099381447,0.11107730865478516]
[61,86,86,86,86]
[0,0.147569418,0.1988921165,0.1105520725,0.11575984954833984]
[67,80,80,80,80]
[0,0.1373896599,0.1885910034,0.1029105186,0.1085972785949707]
[62,80,80,80,80]
[0,0.1366715431,0.1720542908,0.1026809216,0.10613083839416504]
[67,86,86,86,86]
[0,0.1308684349,0.1709685326,0.1074471474,0.11046314239501953]
[68,88,88,88,88]
[0,0.1575672626,0.2351231575,0.1140606403,0.12254738807678223]
[69,82,82,82,82]
[0,0.1411261559,0.2201914787,0.1055722237,0.11123776435852051]
[61,77,77,77,77]
[0,0.1146202087,0.1202850342,0.09483146667,0.0959465503692627]
[67,89,89,93,89]
[0,0.1501867771,0.211679697,0.1197078228,0.11922550201416016]
[62,75,75,75,75]
[0,0.1114814281,0.1229121685,0.09230971336,0.09402322769165039]
[64,86,86,86,86]
[0,0.162715435,0.2240862846,0.1126067638,0.1182394027709961]
[67,87,87,87,87]
[0,0.146299839,0.2078797817,0.1109726429,0.1149449348449707]
[68,88,88,88,88]
[0,0.1445183754,0.1866650581,0.1120138168,0.11584115028381348]
[57,79,79,79,79]
[0,0.1213355064,0.1315209866,0.09769201279,0.09903788566589355]
[62,82,82,82,82]
[0,0.1324360371,0.1658341885,0.1036520004,0.1072244644165039]
[60,89,89,89,89]
[0,0.1542725563,0.1798517704,0.1139829159,0.11627531051635742]
[59,106,106,106,106]
[0,0.1778213978,0.2306351662,0.1345341206,0.1395096778869629]
[62,91,91,91,91]
[0,0.1419036388,0.169301033,0.1138422489,0.11709332466125488]
[60,86,86,86,86]
[0,0.1493952274,0.1828424931,0.1115515232,0.11374258995056152]
[61,86,86,86,86]
[0,0.1183898449,0.1241290569,0.1039423943,0.1048130989074707]
[63,93,93,93,93]
[0,0.1551249027,0.1806704998,0.1181025505,0.12135028839111328]
[61,72,72,72,72]
[0,0.1111395359,0.1260588169,0.08954238892,0.0907888412475586]
[64,86,86,86,86]
[0,0.1398692131,0.1897304058,0.1085546017,0.11399483680725098]
[59,90,90,90,90]
[0,0.1475424767,0.1766753197,0.1149094105,0.11824607849121094]
[67,84,84,84,84]
[0,0.1377005577,0.1894054413,0.1072404385,0.1115109920501709]
[63,79,79,79,79]
[0,0.1398358345,0.1799883842,0.1032140255,0.10691237449645996]
[63,97,97,97,97]
[0,0.1477060318,0.1889798641,0.1208012104,0.12471413612365723]
[60,78,78,78,78]
[0,0.1217904091,0.1303799152,0.09667682648,0.09809279441833496]
[63,86,86,86,86]
[0,0.1330933571,0.155466795,0.1075861454,0.1092672348022461]
[67,107,107,107,107]
[0,0.1953511238,0.2782223225,0.1392419338,0.1469416618347168]
[67,86,86,86,86]
[0,0.1340091228,0.1800868511,0.107396841,0.11087870597839355]
[64,100,100,100,100]
[0,0.1666326523,0.2279706001,0.1274559498,0.13194632530212402]
[59,95,95,95,95]
[0,0.1969354153,0.2570867538,0.1271159649,0.133681058883667]
[67,76,76,76,76]
[0,0.1368112564,0.1825449467,0.09802722931,0.10314035415649414]
[60,88,88,88,88]
[0,0.1411693096,0.1644775867,0.1115529537,0.11463785171508789]
[64,92,92,92,92]
[0,0.1411931515,0.174631834,0.1152551174,0.11820578575134277]
[68,92,92,92,92]
[0,0.1606900692,0.2383050919,0.1185200214,0.1265428066253662]
[69,85,85,85,85]
[0,0.1379032135,0.1847403049,0.1076071262,0.1111910343170166]
[62,81,81,81,81]
[0,0.136523962,0.1785879135,0.1032965183,0.10726690292358398]
[65,103,103,105,103]
[0,0.1709702015,0.2271783352,0.1335937977,0.13586068153381348]
[61,79,77,79,77]
[0,0.1165018082,0.1271519661,0.09662747383,0.0958871841430664]
[58,97,97,97,97]
